scale,n_basis,n_replicates,mean_reference_bandwidth,selected_regularization_mean,validation_normalized_rmse_mean,validation_normalized_rmse_std,validation_normalized_rmse_sem,selected_normalized_rmse_mean,selected_normalized_rmse_std,selected_normalized_rmse_sem,selected_median_direction_error_deg_mean,selected_median_direction_error_deg_std,selected_median_direction_error_deg_sem,selected_vector_gain_through_origin_mean,selected_vector_gain_through_origin_std,selected_vector_gain_through_origin_sem,selected_mean_component_calibration_slope_mean,selected_mean_component_calibration_slope_std,selected_mean_component_calibration_slope_sem,fixed_normalized_rmse_mean,fixed_normalized_rmse_std,fixed_normalized_rmse_sem,fixed_median_direction_error_deg_mean,fixed_median_direction_error_deg_std,fixed_median_direction_error_deg_sem,fixed_vector_gain_through_origin_mean,fixed_vector_gain_through_origin_std,fixed_vector_gain_through_origin_sem
coarse,2048,5,28.45786147461548,0.01,0.0660462208210291,0.0023971808650319537,0.0010720518737146393,0.058525677170429134,0.0023927949347411115,0.0010700904260596597,2.07602629551256,0.10448599567355746,0.046727557804564675,0.9958496098577256,0.0011380319787234802,0.0005089433729988592,0.9954659373981907,0.0012561436977187213,0.0005617645395214016,0.058525677170429134,0.0023927949347411115,0.0010700904260596597,2.07602629551256,0.10448599567355746,0.046727557804564675,0.9958496098577256,0.0011380319787234802,0.0005089433729988592
fiducial,256,5,22.031778990223682,0.01,0.22682774793444743,0.001965028415759807,0.0008787874230715294,0.2306160813730191,0.007907844539636265,0.003536495589225444,10.068685991607342,0.6655821881186834,0.29765740344928576,0.9515601577080538,0.005955476458327441,0.00266337003984397,0.9483782389380089,0.006735731188904891,0.0030123105633113626,0.2306160813730191,0.007907844539636265,0.003536495589225444,10.068685991607342,0.6655821881186834,0.29765740344928576,0.9515601577080538,0.005955476458327441,0.00266337003984397
fiducial,384,5,22.031778990223682,0.01,0.1677922331338516,0.0037629180984600228,0.0016828281323841715,0.16858583784474537,0.007323625064589878,0.003275224697228851,7.113951419733546,0.4554031254037998,0.20366246911375152,0.9741812094982027,0.0035599177758027655,0.0015920436282009678,0.9722629145772441,0.004163517132283651,0.0018619814666542456,0.16858583784474537,0.007323625064589878,0.003275224697228851,7.113951419733546,0.4554031254037998,0.20366246911375152,0.9741812094982027,0.0035599177758027655,0.0015920436282009678
fiducial,512,5,22.031778990223682,0.01,0.1333823684726918,0.0035257033206793657,0.0015767424587071603,0.13208581632045263,0.0035834799157227425,0.001602580937512254,5.394866988119207,0.4210062382764182,0.188279713547509,0.9828434240344259,0.0031045559177024515,0.0013883996143863849,0.9816505405045663,0.003812279460505455,0.0017049032045832844,0.13208581632045263,0.0035834799157227425,0.001602580937512254,5.394866988119207,0.4210062382764182,0.188279713547509,0.9828434240344259,0.0031045559177024515,0.0013883996143863849
fiducial,640,5,22.031778990223682,0.01,0.10780007358801047,0.002760819244326374,0.0012346759007806746,0.10610047253034778,0.0027497773379511065,0.0012297378101294172,4.2461962907217465,0.2234234261293869,0.09991799371824236,0.9882941619096931,0.0016744518988626269,0.0007488376541820872,0.9875481871978471,0.0025585650062581386,0.0011442250557690745,0.10610047253034778,0.0027497773379511065,0.0012297378101294172,4.2461962907217465,0.2234234261293869,0.09991799371824236,0.9882941619096931,0.0016744518988626269,0.0007488376541820872
fiducial,768,5,22.031778990223682,0.01,0.09412646639710176,0.0027415692240771654,0.001226067030011579,0.09152146024985644,0.002714040240960948,0.0012137556944917176,3.607133131601578,0.20222826608166974,0.09043922998610571,0.990634417933627,0.0017818025169569754,0.0007968463100792037,0.9898347242253106,0.0023506017214556282,0.001051221047440562,0.09152146024985644,0.002714040240960948,0.0012137556944917176,3.607133131601578,0.20222826608166974,0.09043922998610571,0.990634417933627,0.0017818025169569754,0.0007968463100792037
fiducial,896,5,22.031778990223682,0.01,0.08529103185745456,0.0021664218114384824,0.0009688532876629356,0.08295266506934891,0.003227848518807966,0.001443537741825324,3.1812348707299756,0.16655475959901486,0.07448555288790656,0.9920444054701794,0.0015722747908203437,0.0007031426623167102,0.9912391869206336,0.001677131647687628,0.0007500360742891528,0.08295266506934891,0.003227848518807966,0.001443537741825324,3.1812348707299756,0.16655475959901486,0.07448555288790656,0.9920444054701794,0.0015722747908203437,0.0007031426623167102
fiducial,1024,5,22.031778990223682,0.01,0.07979567084648505,0.0018606648308767929,0.0008321146090367316,0.07736729292866425,0.003100691327422072,0.0013866713170719621,3.0242587124804734,0.1529125448050961,0.06838456895933544,0.9932547270267594,0.0012953852647112664,0.0005793139017891902,0.9926875929281541,0.0009712015109393024,0.00043433451966215714,0.07736729292866425,0.003100691327422072,0.0013866713170719621,3.0242587124804734,0.1529125448050961,0.06838456895933544,0.9932547270267594,0.0012953852647112664,0.0005793139017891902
fiducial,1280,5,22.031778990223682,0.01,0.07569079231394722,0.0035091387378519733,0.0015693345520629651,0.07169379842629345,0.0030515715455403693,0.001364704282806472,2.7374017058216316,0.1830565381041632,0.08186537258533787,0.9941842652074688,0.0005018596332796578,0.0002244384510352861,0.9935126153390194,0.0003987856459426833,0.0001783423625558006,0.07169379842629345,0.0030515715455403693,0.001364704282806472,2.7374017058216316,0.1830565381041632,0.08186537258533787,0.9941842652074688,0.0005018596332796578,0.0002244384510352861
fiducial,1536,5,22.031778990223682,0.01,0.0767072302283597,0.0035136628957437716,0.001571357816980366,0.07050837577595978,0.0028510171321339214,0.0012750136224935896,2.6825122644503585,0.23589653044710765,0.1054961355472163,0.9946687309825306,0.0007268778114035558,0.0003250696395269245,0.9938633846750449,0.0009204046181687896,0.0004116174586060303,0.07050837577595978,0.0028510171321339214,0.0012750136224935896,2.6825122644503585,0.23589653044710765,0.1054961355472163,0.9946687309825306,0.0007268778114035558,0.0003250696395269245
