replicate,scale,n_basis,selected_normalized_rmse,local_normalized_rmse,diffusion_minus_local_nrmse
5,coarse,896,0.064011645603407,0.1169683057624706,-0.0529566601590636
1,coarse,1024,0.0589258447410638,0.1177743030167134,-0.05884845827564961
2,coarse,1024,0.06523499355130855,0.124485317688263,-0.059250324136954455
3,coarse,1024,0.05863591006588864,0.1201037180034457,-0.06146780793755706
4,coarse,1024,0.05992998084531431,0.1260658734007363,-0.06613589255542199
5,coarse,1024,0.06099857192942447,0.1169683057624706,-0.055969733833046126
1,coarse,1280,0.05624624328738305,0.1177743030167134,-0.061528059729330356
2,coarse,1280,0.061763627244579886,0.124485317688263,-0.06272169044368311
3,coarse,1280,0.05656601924947963,0.1201037180034457,-0.06353769875396607
4,coarse,1280,0.057900642941476545,0.1260658734007363,-0.06816523045925976
5,coarse,1280,0.05794920235315674,0.1169683057624706,-0.05901910340931386
1,coarse,1536,0.054672379484152184,0.1177743030167134,-0.06310192353256122
2,coarse,1536,0.05895173679720923,0.124485317688263,-0.06553358089105377
3,coarse,1536,0.057082036836459564,0.1201037180034457,-0.06302168116698614
4,coarse,1536,0.05672082650519646,0.1260658734007363,-0.06934504689553983
5,coarse,1536,0.05748775789599282,0.1169683057624706,-0.05948054786647777
1,coarse,1792,0.054656254045387605,0.1177743030167134,-0.06311804897132581
2,coarse,1792,0.058690954650407474,0.124485317688263,-0.06579436303785552
3,coarse,1792,0.05608799916804614,0.1201037180034457,-0.06401571883539955
4,coarse,1792,0.0575956018565177,0.1260658734007363,-0.0684702715442186
5,coarse,1792,0.0571397377975355,0.1169683057624706,-0.059828567964935096
1,coarse,2048,0.05644409851589662,0.1177743030167134,-0.06133020450081678
2,coarse,2048,0.06213357486492064,0.124485317688263,-0.06235174282334236
3,coarse,2048,0.05793300007864285,0.1201037180034457,-0.06217071792480285
4,coarse,2048,0.05960236925931733,0.1260658734007363,-0.06646350414141897
5,coarse,2048,0.0565153431333682,0.1169683057624706,-0.060452962629102394
1,fiducial,256,0.2281873965286012,0.1525152599408807,0.07567213658772051
2,fiducial,256,0.24398885490146,0.1591823433030997,0.0848065115983603
3,fiducial,256,0.2237950819608533,0.1585269837533651,0.06526809820748819
4,fiducial,256,0.2308327458564567,0.164069832691033,0.06676291316542368
5,fiducial,256,0.2262763276177242,0.1479569002566527,0.0783194273610715
1,fiducial,384,0.171309298314125,0.1525152599408807,0.01879403837324431
2,fiducial,384,0.1792656381856889,0.1591823433030997,0.020083294882589225
3,fiducial,384,0.1613835086909073,0.1585269837533651,0.0028565249375422097
4,fiducial,384,0.1687995266712858,0.164069832691033,0.004729693980252803
5,fiducial,384,0.1621712173617198,0.1479569002566527,0.014214317105067098
1,fiducial,512,0.1346021399767618,0.1525152599408807,-0.0179131199641189
2,fiducial,512,0.1358194084180674,0.1591823433030997,-0.0233629348850323
3,fiducial,512,0.1286572658174898,0.1585269837533651,-0.029869717935875312
4,fiducial,512,0.1334462985258553,0.164069832691033,-0.030623534165177713
5,fiducial,512,0.1279039688640888,0.1479569002566527,-0.020052931392563894
1,fiducial,640,0.1079570331133525,0.1525152599408807,-0.04455822682752819
2,fiducial,640,0.1065335503706592,0.1591823433030997,-0.052648792932440486
3,fiducial,640,0.1042598192848079,0.1585269837533651,-0.0542671644685572
4,fiducial,640,0.109276121835841,0.164069832691033,-0.05479371085519201
