replicate,label_seed,n_basis,regularization_strength,n_train,n_validation,n_test,validation_parent_nrmse,validation_unweighted_nrmse,parent_test_nrmse,unweighted_test_nrmse,test_median_direction_error_deg,test_vector_gain,observed_octant_nrmse_std,observed_worst_octant_nrmse,observed_octant_nrmse_range,query_region_nrmse,query_region_median_direction_error_deg,query_region_vector_gain,query_octant_nrmse_std,query_worst_octant_nrmse,query_octant_nrmse_range,query_common_nrmse,query_near_boundary_nrmse,query_far_boundary_nrmse
4,20270103,3584,0.01,7009,1501,1503,0.0404605816317724,0.0295337157324246,0.0325109333248149,0.0232036174567089,0.3234848744418162,0.999238452043419,0.0107852344328939,0.0447802511133982,0.0293016056430558,0.0312882422516919,0.932879579395145,0.9993964777930984,0.0057164119415437,0.0397136289742843,0.0183213711765534,0.023245563633764,0.0347754551990505,0.0306266310156816
4,20270103,4096,0.01,7009,1501,1503,0.0433188401339284,0.0317051160379752,0.0342675667987581,0.0244112374876799,0.3295025244689482,0.9991722939043792,0.0122174435043105,0.048755689961994,0.0344271731470192,0.032979567909634,1.042778008842897,0.9991891484472868,0.0066279435180219,0.0431938708261264,0.0184544595845645,0.0240125789718739,0.0353083941624842,0.0337525755847933
5,20270113,512,0.01,7009,1501,1503,0.1008727240264953,0.0718965849479738,0.0903272322435948,0.0661667969821049,1.3437770357325804,0.996911967340405,0.027224637026917,0.1236181984224028,0.0844949457350332,0.0682332036027809,2.208241316072044,0.9927144758043202,0.0183940697137195,0.094003310644473,0.0610216887014049,0.034755407973075,0.0605163917549765,0.074886967794411
5,20270113,1024,0.01,7009,1501,1503,0.0625087937222691,0.0449566818808948,0.0564858430743458,0.0414800541643437,0.779876453112982,0.9996999144277104,0.0145215570916044,0.063214580814222,0.0443583178073361,0.0491319364699744,1.7030262886031826,0.9983323308566308,0.0135142213399316,0.0634888038020434,0.0385583718036685,0.0297484445310507,0.04297605790136,0.05707396768811
5,20270113,1536,0.01,7009,1501,1503,0.045397569314118,0.0329261823828034,0.0455484795325264,0.0334265242952268,0.5784661084955253,0.9989798196187766,0.0158349056831201,0.0667942352819635,0.053018447884195,0.0350453476327787,1.2636703060884038,0.9981801918764968,0.0089615995020348,0.0459092687224569,0.0282930643536443,0.0209097947523365,0.0347245108065606,0.0364767459131275
5,20270113,2048,0.01,7009,1501,1503,0.0371084616237081,0.0270078819929,0.0360030988087102,0.0263992287431453,0.4471617604081236,0.9986397376518374,0.0093448406147938,0.0393477186107422,0.0287706114423148,0.0330485545711342,1.028511186485258,0.9993659000690986,0.0071502856281671,0.0451167222324691,0.0239234416646785,0.0209746828852268,0.0338273980995539,0.0332103053634106
5,20270113,2560,0.01,7009,1501,1503,0.0345822021079073,0.0250956353984547,0.0311622330977271,0.0231206642324925,0.3979812993388186,0.999177097640606,0.007093451274056,0.0347545060000623,0.0231893484800085,0.0308159664202816,1.0063404074436104,0.9997530869888654,0.0059440695671402,0.0393533084862035,0.0190669203209235,0.022078829847908,0.0322769451045536,0.0302189095940198
5,20270113,3072,0.01,7009,1501,1503,0.0352938177901824,0.025339460440673,0.0312386360940014,0.0228075915011184,0.3466641254605614,0.9995369405549444,0.0069042823828279,0.034102536186352,0.02098361964961,0.0308190300019898,1.007094283689237,0.9991435099228296,0.0057651755492524,0.0402281841164152,0.0169963411219357,0.0232687776393891,0.0339594794413339,0.0290669217887065
5,20270113,3584,0.01,7009,1501,1503,0.0368443235529256,0.0264731928943571,0.031485850645323,0.0230039821090375,0.342390577771818,0.9995496178158676,0.0067932755514928,0.0342554101618263,0.0199219346287766,0.0320602753491599,0.9797630915589388,0.9991731435346304,0.0055600803469074,0.0415995592605209,0.0195002966539693,0.0233857121564976,0.0346031538980985,0.0321686325946832
5,20270113,4096,0.01,7009,1501,1503,0.0411642986169685,0.0294403377449896,0.0353600478168476,0.0256110758845086,0.3606710122954125,0.999296731016952,0.0082912874791048,0.041842668330483,0.0287326856173504,0.0352526186385139,1.015996095145557,0.9988866671571872,0.0072472969023129,0.0447721618996132,0.0208296658182827,0.0249737578241686,0.0368372888032192,0.0369444401543165
6,20270123,512,0.01,7009,1501,1503,0.0898265383066223,0.0656192867848359,0.1013439006443161,0.073525816231345,1.305947207883588,0.994144785922097,0.0369088088725413,0.1207067568516868,0.0928910014298166,0.0686696989339113,2.3281607149700823,0.9926103011246394,0.018576929496927,0.0954058570437521,0.0604406289943946,0.0347265998440842,0.0621463573436404,0.0745031808542841
6,20270123,1024,0.01,7009,1501,1503,0.0576187939629098,0.0421435583960402,0.0669180103740141,0.0485057349940629,0.7848971365062998,0.9984971337693967,0.0238504630443392,0.0809915090347663,0.0672596803333382,0.0486987589272166,1.6140762944932403,0.9986969663346144,0.0131697876845136,0.0620714196472285,0.0359025117194194,0.0292277918551827,0.0431816604056179,0.0561980488417508
6,20270123,1536,0.01,7009,1501,1503,0.0468401698324046,0.0341478907240207,0.0558282770902662,0.040236015744149,0.5808602410992999,0.999434858571677,0.022462172337018,0.0692740256740553,0.0608001730480696,0.0354333980176267,1.2184492127466569,0.9978882005607744,0.0092082755384283,0.0465275398091153,0.0296991529016137,0.0203840445061943,0.0352857909734147,0.0369864160545079
6,20270123,2048,0.01,7009,1501,1503,0.0385841328021868,0.0281113391098312,0.0454539049926876,0.0327351355198739,0.4617678561410188,0.99934539191076,0.0170678270748371,0.055194721305584,0.046232761387562,0.0328120638902227,1.083311189072112,0.999522210602865,0.00729657060301,0.0446809805632781,0.0232358626488012,0.0206179370881943,0.0335684090254444,0.0334127313243176
6,20270123,2560,0.01,7009,1501,1503,0.0365127984236435,0.0264409567988129,0.0379697830357783,0.0275855918742557,0.3831863693249922,0.9992325918141558,0.0131422724497755,0.0463136721055075,0.0366573428534033,0.0306858624374636,0.9803953400760396,0.99977100481604,0.0062246104344209,0.0390206355424308,0.0202673340531194,0.0214593876616997,0.0320056432361531,0.0305264450427288
6,20270123,3072,0.01,7009,1501,1503,0.035897052947582,0.0259614441974324,0.0442283597069754,0.031651771828429,0.3485946146085457,0.9995803836787592,0.0153047494735146,0.0573604035795394,0.0461022298353374,0.0306761281512025,1.0235486067091073,0.998748119534854,0.0060009404870398,0.0385375832865187,0.0167057208901205,0.0225388023659808,0.0337960622579189,0.029650882441667
6,20270123,3584,0.01,7009,1501,1503,0.0364850323043358,0.0264997223296994,0.045528790492474,0.0326046199977646,0.3559708995127881,0.9996219870804084,0.016086036503872,0.0593954840666861,0.046727937647605,0.0313259958391107,0.8787832740333549,0.9993236406256388,0.0061720019709395,0.0418485909215783,0.0190927224372732,0.0225720487530868,0.0347795829451913,0.0306517567471554
6,20270123,4096,0.01,7009,1501,1503,0.0380922215326104,0.0276763441106312,0.0470432195948341,0.0336163550991981,0.3539034504609614,0.9994761150884708,0.0170666346153214,0.059811667909042,0.0476006027601166,0.0333470243287239,1.0526495070124608,0.9991825783973918,0.007909202517474,0.0449364178572715,0.0218970032600543,0.0242152683231746,0.0363522728449817,0.0330754012875057
7,20270203,512,0.01,7009,1501,1503,0.0909691980296837,0.066358448211717,0.0947656124342153,0.0687614668268228,1.266416448898027,0.9936551331029924,0.0336415780779827,0.1300131831945241,0.1037626036518271,0.0679692961728644,2.3123746607454096,0.9934558975867772,0.0187789489792223,0.0944975178645319,0.0619402297983943,0.0352129417021506,0.0617933962576467,0.0740525492709044
7,20270203,1024,0.01,7009,1501,1503,0.0567565853183194,0.0417594770869981,0.0592824334053209,0.0432146069019917,0.7630031893991411,0.998881087516768,0.0251053509118768,0.0864122841733293,0.0747581089635119,0.0489845542267885,1.552015087257485,0.9986501881045692,0.0144891368658038,0.0677591565346713,0.0433409140668814,0.0289983975510093,0.0429842474244385,0.0562419683569777
7,20270203,1536,0.01,7009,1501,1503,0.0460061342332658,0.0337733661978852,0.0435623208199039,0.0317439645067845,0.5436947597065889,0.9995912579846844,0.0193592276070729,0.0680367927876273,0.0557822847358411,0.0356756046517302,1.2179160930445534,0.9982657478269352,0.0086454840003859,0.0451977596390939,0.0277351743093115,0.0210860637377705,0.0342541192822317,0.03805176076342
7,20270203,2048,0.01,7009,1501,1503,0.038780562865117,0.0280306120867038,0.0346119134402908,0.0254764720602545,0.4305727423550632,0.9989502391762526,0.0150961880841902,0.0548456922627733,0.0471852291941642,0.0332327257569252,1.0594451625572503,0.999459055223102,0.0072889548216409,0.0444205130898076,0.0217056313094497,0.0210997748562934,0.0337579328064386,0.0331705985506708
7,20270203,2560,0.01,7009,1501,1503,0.0340744932418839,0.0247885879276313,0.0302372914109827,0.0222383722787054,0.3557446606727373,0.9991136203085488,0.0118173135643596,0.0485891566431667,0.0408238866268168,0.0311948644737276,1.0300477652380764,0.9994225713940886,0.0062416617549995,0.0408835919908158,0.0201898448338548,0.0217142631959013,0.03360011689365,0.0293872242142272
7,20270203,3072,0.01,7009,1501,1503,0.0325465736805861,0.023713708755451,0.0304347966786916,0.0221273632612953,0.3184699039879043,0.999221074638322,0.0121740739028034,0.0493375284583927,0.0422371309781906,0.0311961218698113,1.0536976663570157,0.9990711517477182,0.0062350117050443,0.0419658501269648,0.0184834730959236,0.0223911226357334,0.0348166444309156,0.028799940084777
7,20270203,3584,0.01,7009,1501,1503,0.0338418697838955,0.0247364319084581,0.0308463469759581,0.0224110340506925,0.3024045158373312,0.999157885222404,0.0133966128756479,0.0542546637263668,0.0480974036211614,0.0312496317832094,0.9421495047297131,0.9996524222163056,0.005734021872412,0.0410888736619128,0.0186116265488318,0.023203750544259,0.0346353727264816,0.0291272555041554
7,20270203,4096,0.01,7009,1501,1503,0.0358732478630113,0.0262830846544484,0.0330294516994418,0.0240065648778345,0.3275401731513211,0.9986739407900808,0.013782170836474,0.0574199690765732,0.04855316106494,0.0338466511208432,1.0437763061605962,0.9998238635249468,0.0075546249985741,0.0438730323742616,0.022617553314476,0.0241350328945884,0.0363182968753393,0.0338129045809023
