noise_fraction,n_basis,n_seed_pairs,validation_observed_nrmse_mean,validation_observed_nrmse_std_between_seeds,validation_observed_nrmse_sem_between_seeds,test_hidden_nrmse_3d_mean,test_hidden_nrmse_3d_std_between_seeds,test_latent_nrmse_radial_mean,test_hidden_nrmse_tangential_mean,effective_degrees_of_freedom_mean,within_basis_selector_agreement_mean
0.4,1283,5,0.42992911059904254,0.007815920355741827,0.0034953858444326125,0.5223920031058195,0.01964829929365513,0.21435566212790552,0.6676869033080519,779.1120814896718,1.0
0.4,1539,5,0.4292566052365382,0.00762021543969773,0.003407863945271515,0.5211900171802529,0.01849915561538366,0.21421473544986366,0.6660442706938106,851.4162873105863,1.0
0.4,1795,5,0.4296930226529464,0.007220560817732888,0.0032291329648244413,0.518197732995463,0.019327651740845553,0.21473288214795772,0.6617950904004204,906.1304258311993,1.0
0.4,2050,5,0.43037188786620667,0.006905230926350093,0.00308811315033053,0.5163816083502992,0.019186684386257515,0.21532905581148407,0.6591440121081914,945.9830511632256,1.0
0.8,3,5,0.9809638722501323,0.0038030914780340587,0.0017007942139068606,1.0815809814226296,0.013749433929390483,0.9607786277886655,1.1648431701868045,2.9999999968220017,1.0
0.8,6,5,0.9618718796044495,0.0059773783698290495,0.0026731648724349264,0.9632986879089481,0.010425101440345473,0.9342499254092622,0.9847445061655435,5.743596652626197,0.4166666666666667
0.8,11,5,0.9551998903588652,0.0066705769797774,0.002983172715185501,0.9667744611618362,0.012977190500998515,0.9210243954804144,1.0001431555389744,10.691294879509082,0.4333333333333333
0.8,19,5,0.818366941189366,0.0065544011718085176,0.0029312173143936247,0.85193065024458,0.019712336184494125,0.6803551960264121,0.9619580743795944,17.864728538396538,0.3
0.8,35,5,0.775504184005605,0.007202628780536117,0.003221113513995034,0.7355706852994278,0.02619782304206343,0.5879621353581832,0.8306296094354779,33.534459718293995,0.38333333333333336
0.8,67,5,0.751093314870466,0.007057378452529309,0.003156155592559561,0.7104787252446785,0.021257426772465334,0.5298119655423811,0.8218385946718618,62.323038613135736,0.5166666666666666
0.8,131,5,0.7236511093777096,0.005035342985757792,0.0022518738412362358,0.7317796245919712,0.02337031199829084,0.47268202257567393,0.8793612575753791,118.31106914562129,0.6333333333333334
0.8,259,5,0.6894382408393056,0.008038119663364252,0.0035947563957120384,0.6847649438129781,0.01712060050922118,0.3676353145712565,0.8504964155572756,223.45310781667627,0.5666666666666667
0.8,387,5,0.6864144016225509,0.007373153128118305,0.0032973743205975494,0.6986716647112636,0.02221643279303784,0.34849940864283524,0.8760600612088218,321.6355875445117,0.45
0.8,514,5,0.6846084739007166,0.007012005945716251,0.0031358643906508475,0.7032805081357834,0.03007256728118564,0.33985878923622515,0.8852212606080482,414.38849464400585,0.41666666666666663
0.8,643,5,0.6856631292685285,0.007719311590344839,0.0034521810911026136,0.6989990121145289,0.029188792284308797,0.33692357591791233,0.8801259153925237,499.53768429333985,0.3666666666666667
