noise_fraction,n_basis,seed_pair_index,validation_observed_nrmse_seed_mean,test_hidden_nrmse_3d_seed_mean,test_latent_nrmse_radial_seed_mean,test_hidden_nrmse_tangential_seed_mean,effective_degrees_of_freedom_seed_mean,selector_agreement_seed_mean
0.05,514,1,0.24199363693240786,0.6160351323101056,0.2474762022839149,0.7858517973431752,496.643345294909,0.16666666666666666
0.05,514,2,0.22200650017339316,0.5264383055679972,0.22612395032213484,0.6587925809388767,426.7716355190448,0.9166666666666666
0.05,514,3,0.2360680613424473,0.5451269829382467,0.23620747797055508,0.7007160128823671,427.7355505199919,0.9166666666666666
0.05,514,4,0.24692767078107522,0.5137043344706306,0.21775484136873077,0.6528610291472366,419.7313249979267,1.0
0.05,643,0,0.2133004853201066,0.5930770408299257,0.20482480164861108,0.7771661174251338,640.3306764918902,0.0
0.05,643,1,0.2114612308187016,0.6013744125233116,0.22215047879812358,0.7716015721435784,640.3507293903244,0.0
0.05,643,2,0.1964642600116784,0.4953587120155496,0.20065881883434522,0.6226735582901497,522.519148551619,0.8333333333333334
0.05,643,3,0.2091897297436075,0.509720217702665,0.20679368877446558,0.6588674250847338,511.76959735030863,0.9166666666666666
0.05,643,4,0.22716781161529156,0.49097381854637195,0.19066191026191714,0.6281426899362382,499.8250485701463,1.0
0.05,771,0,0.1939664289707824,0.5692711417605291,0.17957207407250253,0.7494593870815525,767.0055848714534,0.0
0.05,771,1,0.1907554099237454,0.5797465819146176,0.19540870731941326,0.7477049885381867,766.6958196675572,0.0
0.05,771,2,0.18416349521771638,0.4721728318485307,0.17899551999990562,0.5962191965514475,569.4057310070311,1.0
0.05,771,3,0.18230538965294166,0.5696983608942042,0.17834413554008613,0.748131021082656,766.8384001950664,0.0
0.05,771,4,0.2060255803743237,0.4640296414531873,0.16273907559766201,0.5974404040885378,570.6111543469486,1.0
0.05,899,0,0.17936105829713545,0.5455155282957128,0.15915634869114817,0.720607032304097,892.9799095196184,0.0
0.05,899,1,0.17659070531235874,0.5786765358839484,0.1815230088802948,0.7488747273573075,892.3847562796909,0.0
0.05,899,2,0.17452413044019288,0.4774986773994394,0.16146256836129333,0.6066987634030174,696.8282033892638,0.75
0.05,899,3,0.1757289070618736,0.5505236093757231,0.16653452859704596,0.7239889123873023,870.721751441011,0.08333333333333333
0.05,899,4,0.18376815921878376,0.5417577720389771,0.1450312707685948,0.7055670084891529,892.693720114794,0.0
0.05,1027,0,0.16731072505513503,0.5284104337749794,0.1419500941931132,0.7001184472947375,1017.1095266699789,0.0
0.05,1027,1,0.16910367766520737,0.5452318140754362,0.1681443464627228,0.7061116115384442,1016.8780994536792,0.0
