run_key,seed_pair_index,seed_run_index,reference_seed,label_seed,scale,noise_fraction,noise_sigma,noise_realization,noise_seed,train_radial_rms,n_basis,n_affine_modes,n_diffusion_modes,regularization_strength,penalty_power,validation_selection_score,validation_observed_nrmse,validation_reduced_chi2,validation_latent_nrmse_radial,validation_hidden_nrmse_tangential,validation_hidden_nrmse_3d
seedpair01_ref20260815_label20260814_noise08000_rep004_seed2026083704,1,53,20260815,20260814,fiducial,0.8,218.6169999147778,4,2026083704,273.27124989347226,2050,3,2047,0.0001,2.0,1.1839678716728623,0.6938776242430018,1.1839678716728623,0.4001554042327131,0.834686956055418,0.6798181445441098
seedpair01_ref20260815_label20260814_noise08000_rep005_seed2026083705,1,54,20260815,20260814,fiducial,0.8,218.6169999147778,5,2026083705,273.27124989347226,67,3,64,0.0001,1.0,1.4199115058826652,0.7465374654480318,1.4199115058826652,0.5426542543722338,0.7882068477007592,0.6916794072229538
seedpair01_ref20260815_label20260814_noise08000_rep006_seed2026083706,1,55,20260815,20260814,fiducial,0.8,218.6169999147778,6,2026083706,273.27124989347226,259,3,256,0.0001,1.0,1.077865246896755,0.6605368052780312,1.077865246896755,0.368831343940719,0.8717379806167335,0.698005245215429
seedpair01_ref20260815_label20260814_noise08000_rep007_seed2026083707,1,56,20260815,20260814,fiducial,0.8,218.6169999147778,7,2026083707,273.27124989347226,259,3,256,0.0001,1.0,1.2109489609934987,0.7019052687508829,1.2109489609934987,0.3510539545381648,0.8677544991281516,0.6911706478531816
seedpair01_ref20260815_label20260814_noise08000_rep008_seed2026083708,1,57,20260815,20260814,fiducial,0.8,218.6169999147778,8,2026083708,273.27124989347226,259,3,256,0.0001,1.0,1.2636465694904095,0.6897387952900199,1.2636465694904095,0.3708280305897272,0.8870841169796141,0.7092599128675687
seedpair01_ref20260815_label20260814_noise08000_rep009_seed2026083709,1,58,20260815,20260814,fiducial,0.8,218.6169999147778,9,2026083709,273.27124989347226,67,3,64,0.0001,2.0,1.4704667336010049,0.7854821280844294,1.4704667336010049,0.5431285460548931,0.7998720052676566,0.6993375056508774
seedpair01_ref20260815_label20260814_noise08000_rep010_seed2026083710,1,59,20260815,20260814,fiducial,0.8,218.6169999147778,10,2026083710,273.27124989347226,259,3,256,0.0001,1.0,1.1450539600038894,0.6984095096885755,1.1450539600038894,0.3615343268420579,0.9074199648909828,0.7215368475720088
seedpair01_ref20260815_label20260814_noise08000_rep011_seed2026083711,1,60,20260815,20260814,fiducial,0.8,218.6169999147778,11,2026083711,273.27124989347226,259,3,256,0.0001,1.0,1.208616097541939,0.6838764704642157,1.208616097541939,0.3676001972044718,0.8599025679840004,0.6894048034214622
seedpair02_ref20260825_label20260824_noise00000_rep000_seed2026084700,2,0,20260825,20260824,fiducial,0.0,0.0,0,2026084700,264.593090487359,2050,3,2047,0.0001,2.0,0.1224869957494751,0.1224869957494751,,0.1224869957494752,0.5719253667465652,0.4385891816419244
seedpair02_ref20260825_label20260824_noise00500_rep000_seed2026084700,2,1,20260825,20260824,fiducial,0.05,13.229654524367952,0,2026084700,264.593090487359,2050,3,2047,0.0001,2.0,7.296146122935593,0.1323083914251875,7.296146122935593,0.1249457826964086,0.5757127723448525,0.4416935457191883
