protocol,label_seed,loss_name,loss_label,octant_subset,n_octants,octant_ids,missing_octant_ids,nrmse_3d_mean,nrmse_3d_std,nrmse_3d_worst,nrmse_3d_best,nrmse_3d_range
retuned_practical,20270113,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.23132417444416298,0.0956695215179418,0.40961570943787345,0.08109068095579769,0.32852502848207576
retuned_raw,20270113,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.21330147916022163,0.0797081122249173,0.3481006127761076,0.10945953577389123,0.23864107700221637
retuned_raw,20270113,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.23390887316191583,0.0942868490499503,0.41048507812166946,0.08249692814308204,0.3279881499785874
matched_unweighted_practical,20270113,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.2130316167188766,0.08385571545348718,0.3572660438166926,0.1016500512599941,0.2556159925566985
matched_unweighted_practical,20270113,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.23132417444416298,0.0956695215179418,0.40961570943787345,0.08109068095579769,0.32852502848207576
matched_raw_operational_structure,20270113,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.21330147916022163,0.0797081122249173,0.3481006127761076,0.10945953577389123,0.23864107700221637
matched_raw_operational_structure,20270113,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.23390887316191583,0.0942868490499503,0.41048507812166946,0.08249692814308204,0.3279881499785874
retuned_practical,20270113,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.21045277740386492,0.08311017228062234,0.3539279293289788,0.10721462996748143,0.24671329936149738
retuned_practical,20270113,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.22670271761128533,0.09603527679698494,0.40540426423973225,0.07328167026607402,0.33212259397365823
retuned_raw,20270113,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.21105796247228506,0.08048061958542745,0.3445554805009791,0.10760697713066812,0.23694850337031098
