protocol,subset,comparison,model_a,model_b,label_seed,delta_nrmse_radial,delta_nrmse_tangential,delta_nrmse_3d,delta_direction_error_median_deg,delta_octant_nrmse_3d_mean,delta_octant_nrmse_3d_std,delta_worst_octant_nrmse_3d
retuned_practical,observed_test_global_parent_weighted,octant_minus_global,octant_g1p00_cap20,global_g0p75_cap20,20270223,-0.0006481111981597454,-0.0025021183790349677,-0.002052125308943442,-0.30140057933765085,-0.00648647091652646,0.003439199809516069,-0.0021531473321904637
retuned_practical,observed_test_global_parent_weighted,octant_minus_global,octant_g1p00_cap20,global_g0p75_cap20,20270303,-0.001175624441347209,-0.0031478650078731185,-0.0025736118993031076,-0.26347243967454403,-0.00631594817318315,0.003036294890259514,-0.003884636454767054
retuned_practical,observed_test_unweighted,global_minus_unweighted,global_g0p75_cap20,unweighted,20261203,0.0028826360344675825,0.03818725753218902,0.03099585488302914,1.6192449354732599,0.034021880663079235,-0.007044209260537615,0.02117696328597779
retuned_practical,observed_test_unweighted,global_minus_unweighted,global_g0p75_cap20,unweighted,20261213,0.004169555870975797,0.03785439160942802,0.030632218344615603,1.2983645527096623,0.02899524715173757,-0.005123323759185797,0.01680619668708294
retuned_practical,observed_test_unweighted,global_minus_unweighted,global_g0p75_cap20,unweighted,20261223,0.005430677787961892,0.054758477702149005,0.04450810780685266,1.8412345903633192,0.05225673688466578,-0.005100298395840724,0.02669935543528218
retuned_practical,observed_test_unweighted,global_minus_unweighted,global_g0p75_cap20,unweighted,20270103,0.02686777466686903,0.14286220224710178,0.1166405146354329,2.951423578102963,0.09394955521797824,0.06754254586943463,0.2617003126888485
retuned_practical,observed_test_unweighted,global_minus_unweighted,global_g0p75_cap20,unweighted,20270113,0.0033548233154955392,0.03920344371287435,0.03179302413374374,1.3980827939191371,0.031426230938314675,-0.0014826639409203507,0.022121002824761815
retuned_practical,observed_test_unweighted,global_minus_unweighted,global_g0p75_cap20,unweighted,20270123,0.005265476402939805,0.08707751047478413,0.07023427964360407,1.9514432817266876,0.0658503339075164,0.03284445644912061,0.1543384795193759
retuned_practical,observed_test_unweighted,global_minus_unweighted,global_g0p75_cap20,unweighted,20270203,0.0026705867338731454,0.04514637343975658,0.036518096601447864,1.5722018049106978,0.04165451654144969,-0.006777248436489733,0.023611261730136168
retuned_practical,observed_test_unweighted,global_minus_unweighted,global_g0p75_cap20,unweighted,20270213,0.0019660845953482498,0.03381086476720585,0.026999820039922018,1.0415473719693331,0.027914156504390858,-0.0065873312928392685,0.010938101904226949
retuned_practical,observed_test_unweighted,global_minus_unweighted,global_g0p75_cap20,unweighted,20270223,0.0062986521449599625,0.04737843547619902,0.03853197962856783,1.7425019712656065,0.04844073964995066,-0.015101142828118613,0.01976756163542881
