protocol,subset,loss_name,loss_label,n_seeds,nrmse_radial_mean,nrmse_radial_std,nrmse_radial_sem,nrmse_tangential_mean,nrmse_tangential_std,nrmse_tangential_sem,nrmse_3d_mean,nrmse_3d_std,nrmse_3d_sem,direction_error_median_deg_mean,direction_error_median_deg_std,direction_error_median_deg_sem,direction_error_p90_deg_mean,direction_error_p90_deg_std,direction_error_p90_deg_sem,vector_gain_through_origin_mean,vector_gain_through_origin_std,vector_gain_through_origin_sem
matched_raw_operational_structure,observed_test_unweighted,unweighted,Unweighted,10,0.04852159315908722,0.030483897762158617,0.009639854888813104,0.23993900092386963,0.08480959767038192,0.026819149608091696,0.19672931894117549,0.07178134703220151,0.022699255013672464,6.169422563220024,1.5091493455055822,0.47723492611500334,17.303556009068252,3.210935454834306,1.015386945706512,0.9518424259243439,0.05545311578666048,0.01753581492388869
matched_raw_operational_structure,query_primary_boundary_safe,unweighted,Unweighted,10,0.1276747311010554,0.011591858396497854,0.003665667484708041,0.27495421755890687,0.02152062384766321,0.006805418802635224,0.24363209878260134,0.017264030145422535,0.0054593656853343135,8.357127099230937,0.42616955781068894,0.13476664721085782,20.205396317163828,1.405614069914386,0.4444941972108617,0.9500344056328498,0.0395321164613595,0.012501152874493177
retuned_practical,observed_test_parent_weighted,optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",10,0.06411216206683797,0.009661679536279092,0.0030552913357281357,0.3023102194176547,0.05714460774336873,0.01807071164659399,0.2517101815467555,0.04794824020156748,0.015162564883380423,9.35915681301191,1.6241633022048385,0.5136055327027664,22.73832961107682,2.6299917144812297,0.8316764045131927,0.9076150634016118,0.053173588969511534,0.016814965250926208
retuned_practical,observed_test_unweighted,optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",10,0.0719719347644808,0.05211706362666417,0.01648086260201741,0.32931334169639087,0.14151595950869167,0.04475127573116286,0.2705116252102749,0.11970836495451086,0.0378551088230933,8.611338095897842,2.5210897331760793,0.7972385742502576,22.019394514329225,8.473117691094055,2.679435078652421,0.9022806798121691,0.08343117894738697,0.02638325533468322
retuned_practical,query_primary_boundary_safe,optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",10,0.12319282023926048,0.007054643309307126,0.002230874093747825,0.3045368563970617,0.04582086725974828,0.014489830490504268,0.26743486300245084,0.037543638465703445,0.011872340920153225,9.387307989729544,0.968297092736371,0.30620242647662155,22.103316081062644,2.18978575819269,0.692471058368762,0.9122612090202304,0.05597238138005656,0.01770002112245774
retuned_raw,observed_test_parent_weighted,optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",10,0.06061484433236779,0.01049073676386506,0.00331746225070776,0.3168502970600336,0.06016501488131397,0.019025848248287725,0.2633086076611118,0.05051382610770755,0.01597387438300338,9.443187704631589,1.7988885299850548,0.5688585011504874,23.470752368135113,2.78567048927257,0.8809063556816967,0.9038736292361434,0.05690850446946675,0.017996049235738706
retuned_raw,observed_test_unweighted,optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",10,0.07274521642034752,0.056367953808142975,0.017825112107689365,0.35212220977481223,0.14957651786447188,0.04730024809285959,0.28895557586891607,0.12667263871587706,0.040057405556579814,8.80163647181656,2.6980542613956717,0.853199671673363,22.723345157222035,9.422510522905611,2.9796594529285887,0.8963477629033267,0.08903913457286937,0.028156646614051078
retuned_raw,query_primary_boundary_safe,optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",10,0.13384819483900814,0.014384829864729621,0.004548882612655741,0.32679274364395694,0.049847919346820736,0.015763296175632636,0.28727915351928146,0.04069322180707122,0.012868326624077803,9.800162823251611,1.152821295217277,0.36455410280319706,22.869614366138432,2.268662742789709,0.7174141509980217,0.9101956245672065,0.06066046046545698,0.019182521898544178
matched_unweighted_practical,observed_test_parent_weighted,optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",10,0.06305377180286045,0.010164072729733525,0.003214162012956296,0.308362042631443,0.05827061911621642,0.01842678770753917,0.256552526499465,0.04887652821901048,0.015456115329356621,9.376963022633763,1.7306018003778516,0.5472643411982057,23.080504071086303,2.705138637040984,0.855439947957304,0.9064983493287698,0.05493382738181794,0.01737160151170689
matched_unweighted_practical,observed_test_unweighted,optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",10,0.07320523078187963,0.05427272387006001,0.017162542225077793,0.33547145566487097,0.1446554807879494,0.04574407953166486,0.27556048888045226,0.12246363177811474,0.038726400695501866,8.706918741277153,2.609620422586875,0.8252344363865639,22.122461880024186,8.768939226030982,2.7729820617851972,0.8991822420363075,0.08564230647581138,0.027082475253375204
