protocol,subset,comparison,model_a,model_b,label_seed,delta_nrmse_radial,delta_nrmse_tangential,delta_nrmse_3d,delta_direction_error_median_deg
matched_unweighted_practical,observed_test_parent_weighted,optimized_minus_unweighted,optimized_gamma0p75_cap20,unweighted,20261222,0.0024075953111729886,0.03232438775293284,0.026530803985059914,0.9999347704617705
matched_unweighted_practical,observed_test_parent_weighted,optimized_minus_unweighted,optimized_gamma0p75_cap20,unweighted,20270102,0.001886972901490848,0.04519180466020001,0.03684849030076376,1.225873634571169
matched_unweighted_practical,observed_test_parent_weighted,optimized_minus_unweighted,optimized_gamma0p75_cap20,unweighted,20270112,0.0007929620932365447,0.03385863789374732,0.027912235669268787,1.2331372194502626
matched_unweighted_practical,observed_test_parent_weighted,optimized_minus_unweighted,optimized_gamma0p75_cap20,unweighted,20270122,0.008647804574451079,0.14787591956508617,0.12193079587088035,4.342161181591708
matched_unweighted_practical,observed_test_parent_weighted,optimized_minus_unweighted,optimized_gamma0p75_cap20,unweighted,20270202,0.0015234723356389798,0.03787829285403482,0.03073543234455911,1.5162579701863308
matched_unweighted_practical,observed_test_parent_weighted,optimized_minus_unweighted,optimized_gamma0p75_cap20,unweighted,20270212,0.0017905307357627062,0.03860877504515159,0.03139547363258055,0.8229199054635021
matched_unweighted_practical,observed_test_parent_weighted,optimized_minus_unweighted,optimized_gamma0p75_cap20,unweighted,20270222,0.0017567638462010898,0.03122656437471949,0.02552603013953239,1.1247947611813833
matched_unweighted_practical,observed_test_parent_weighted,optimized_minus_unweighted,optimized_gamma0p75_cap20,unweighted,20270302,0.0017777806226931953,0.03801745496862291,0.031222223611162614,1.0507125636842378
matched_unweighted_practical,observed_test_parent_weighted,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20261202,0.0029536960778872925,0.06344474353070795,0.052189570260917334,1.7404732421969378
matched_unweighted_practical,observed_test_parent_weighted,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20261212,0.001243563480129356,0.061439033459388226,0.049917722845516044,1.5608276167960708
matched_unweighted_practical,observed_test_parent_weighted,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20261222,0.004434235394899656,0.05815723750945545,0.04775931271907363,1.5221999126189196
matched_unweighted_practical,observed_test_parent_weighted,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20270102,0.004104980064546959,0.08010696057502059,0.06540227638391433,2.2607396208417665
matched_unweighted_practical,observed_test_parent_weighted,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20270112,0.0014641997344491814,0.05898416216246688,0.04866815191582502,1.707461690850919
matched_unweighted_practical,observed_test_parent_weighted,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20270122,0.013627668926039838,0.2024837084544242,0.1671758603452817,6.027417708409192
matched_unweighted_practical,observed_test_parent_weighted,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20270202,0.0036966139031151674,0.06932121618430448,0.05633996462287855,2.3972846672311405
matched_unweighted_practical,observed_test_parent_weighted,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20270212,0.004063279278484377,0.07139587945127485,0.05816107838537182,1.6091574779884024
matched_unweighted_practical,observed_test_parent_weighted,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20270222,0.0026252568760139067,0.054828079623817416,0.044804727467348454,1.6998902268532445
matched_unweighted_practical,observed_test_parent_weighted,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20270302,0.0032371941188855946,0.06774058790249748,0.05568911294644635,1.520377595680607
matched_unweighted_practical,observed_test_unweighted,optimized_minus_unweighted,optimized_gamma0p75_cap20,unweighted,20261202,0.013843185836551412,0.09601996796834233,0.07846014795697448,2.653028006175661
matched_unweighted_practical,observed_test_unweighted,optimized_minus_unweighted,optimized_gamma0p75_cap20,unweighted,20261212,0.007710516790923515,0.06449638095301444,0.052407432656298075,1.607200708822786
