model_id,model_role,protocol,selector,loss_name,loss_label,subset,n_basis,n_diffusion_modes,regularization_strength,penalty_power,extra_cholesky_jitter,n,nrmse_radial,nrmse_tangential,nrmse_3d,direction_error_median_deg,direction_error_p90_deg,vector_gain_through_origin,replicate,label_seed
selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,Unweighted,query_primary_boundary_safe,3074,3071,1e-06,2.0,0.0,266,0.12412149940263409,0.23954324559842158,0.21409256839020954,7.841022514877206,18.205431268638904,0.9541749550371335,6,20270122
selector::practical_hidden_3d_validation_diagnostic,selector,selector,practical_hidden_3d_validation_diagnostic,unweighted,Unweighted,observed_test_parent_weighted,3074,3071,0.0001,1.0,0.0,1489,0.08110546071912665,0.3228486571511898,0.27134576454422005,9.791610658050526,22.689517418576703,0.8470690767862857,6,20270122
selector::practical_hidden_3d_validation_diagnostic,selector,selector,practical_hidden_3d_validation_diagnostic,unweighted,Unweighted,observed_test_unweighted,3074,3071,0.0001,1.0,0.0,1489,0.12017332344940755,0.4192937404878923,0.3495594753390643,9.120029921779189,23.55193604217756,0.8207990858333163,6,20270122
selector::practical_hidden_3d_validation_diagnostic,selector,selector,practical_hidden_3d_validation_diagnostic,unweighted,Unweighted,query_primary_boundary_safe,3074,3071,0.0001,1.0,0.0,266,0.10131524310321874,0.2942080886284307,0.2560733099258198,8.633261323803488,19.989848749138577,0.8562388814961875,6,20270122
selector::fixed_global_practical_policy,selector,selector,fixed_global_practical_policy,unweighted,Unweighted,observed_test_parent_weighted,3074,3071,0.0001,1.0,0.0,1489,0.08110546071912665,0.3228486571511898,0.27134576454422005,9.791610658050526,22.689517418576703,0.8470690767862857,6,20270122
selector::fixed_global_practical_policy,selector,selector,fixed_global_practical_policy,unweighted,Unweighted,observed_test_unweighted,3074,3071,0.0001,1.0,0.0,1489,0.12017332344940755,0.4192937404878923,0.3495594753390643,9.120029921779189,23.55193604217756,0.8207990858333163,6,20270122
selector::fixed_global_practical_policy,selector,selector,fixed_global_practical_policy,unweighted,Unweighted,query_primary_boundary_safe,3074,3071,0.0001,1.0,0.0,266,0.10131524310321874,0.2942080886284307,0.2560733099258198,8.633261323803488,19.989848749138577,0.8562388814961875,6,20270122
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",observed_test_parent_weighted,4354,4351,0.0001,1.0,0.0,1489,0.08857577312293086,0.4832094088920207,0.4034576413653899,14.423325323458316,30.18108430362837,0.7432123664264098,6,20270122
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",observed_test_unweighted,4354,4351,0.0001,1.0,0.0,1489,0.2322061559855623,0.7724052243307409,0.6452095426072914,16.407164807514096,49.26875696047951,0.6452361191751721,6,20270122
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",query_primary_boundary_safe,4354,4351,0.0001,1.0,0.0,266,0.09881604049125048,0.45470081574723614,0.39060267482084243,12.952763771153723,28.52990782670879,0.7397044396841593,6,20270122
selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",observed_test_parent_weighted,2818,2815,0.0001,1.0,0.0,1489,0.08918450101191307,0.4618694559352374,0.3859589444629931,13.868399065215042,29.246271288328,0.7567606221185259,6,20270122
selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",observed_test_unweighted,2818,2815,0.0001,1.0,0.0,1489,0.21958342423988833,0.7273672288301011,0.6076980341640645,15.685586288986181,45.937302832899334,0.6660022041692298,6,20270122
selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",query_primary_boundary_safe,2818,2815,0.0001,1.0,0.0,266,0.10363504771646073,0.4315902174854367,0.3714699598959694,12.017409274196494,27.589882813535336,0.7539083180399874,6,20270122
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,observed_test_parent_weighted,4098,4095,1e-06,2.0,0.0,1489,0.04779754482727674,0.2702213778024656,0.2221040821446638,8.08891507399687,23.674761846199207,0.9496193997374888,7,20270202
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,observed_test_unweighted,4098,4095,1e-06,2.0,0.0,1489,0.03592566510756731,0.21335121252079353,0.17300585645893085,5.662561532792898,17.069962041715144,0.9668898770825055,7,20270202
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,query_primary_boundary_safe,4098,4095,1e-06,2.0,0.0,266,0.1350876147013868,0.2854119037534954,0.25312732271866745,8.568489427535884,21.015471708815085,0.9597599516284374,7,20270202
selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,Unweighted,observed_test_parent_weighted,2562,2559,1e-06,2.0,0.0,1489,0.05643197866037695,0.25141587023810635,0.20762286530426224,8.046836863790677,21.311889367872897,0.9574057220875481,7,20270202
