seed_pair_index,working_model,noise_fraction,n_basis,validation_selection_score,validation_observed_nrmse,validation_latent_nrmse_radial,validation_hidden_nrmse_3d,validation_hidden_nrmse_tangential
0,gls_correct,0.2,514,1.6635310012059195,0.31549799258018607,0.2540789183131428,0.5385674379165807,0.6636166089402994
0,gls_correct,0.2,643,1.5228479795524752,0.2921955409167538,0.22271081382368532,0.501631986438502,0.621502974114353
0,gls_correct,0.2,771,1.4675575587054501,0.2809691493607072,0.20650134127588307,0.4815069240274412,0.5983083880186488
0,gls_correct,0.2,899,1.439147338671326,0.2744432483619111,0.1967236829556038,0.45481872423113906,0.5648760227271813
0,gls_correct,0.2,1027,1.4097370294267317,0.26795889196723094,0.18703190588015817,0.44709120090599724,0.5567280664373296
0,gls_correct,0.2,1283,1.378277940169105,0.2622876325399708,0.1772100219496258,0.43693050751919404,0.5453018742548179
0,gls_correct,0.2,1539,1.3585268892482103,0.2578066668314016,0.16958287989685614,0.43734959988400596,0.547475801138558
0,gls_correct,0.2,1795,1.3534548016179648,0.2560489783754646,0.16704272405851298,0.4371452582830355,0.5477264262216983
0,gls_correct,0.2,2050,1.355464860775634,0.25611416358982597,0.16703496208741697,0.43700302484763265,0.5475391348342814
0,gls_correct,0.4,3,2.9744795631628556,0.9799491182639684,0.976370960876721,1.0316735110964432,1.0669869808250043
0,gls_correct,0.4,6,2.781725157670832,0.950853289250135,0.9405696569860944,0.9347425010185241,0.9308315383474438
0,gls_correct,0.4,11,2.7789416929220825,0.9450945684511677,0.9338039047888543,0.9322366066020674,0.9311878965550241
0,gls_correct,0.4,19,2.079360810809025,0.734587404707502,0.6809136633949918,0.7727539090028229,0.8283993578175536
0,gls_correct,0.4,35,1.874142176637682,0.6704130626181501,0.599663151396252,0.6903498368222222,0.7447343839762932
0,gls_correct,0.4,67,1.7335068161147522,0.6240317101337582,0.5406119892271274,0.6512816613298954,0.7156788313289851
0,gls_correct,0.4,131,1.521870875644965,0.5554774434302978,0.44834970643507727,0.6490981529919722,0.7538658093926965
0,gls_correct,0.4,259,1.3147161128644878,0.48346155804531765,0.33475033673856336,0.5824733528245728,0.7005834050851085
0,gls_correct,0.4,387,1.2631450314794181,0.4665489399197187,0.3071644502171092,0.5581280412127722,0.6755740067405723
0,gls_correct,0.4,514,1.2245867074071122,0.4501285197488958,0.27595608807352784,0.5459856985410729,0.6679813696774337
0,gls_correct,0.4,643,1.185051576500458,0.43776293378586256,0.25230490305512315,0.525210008552431,0.6460813639379248
0,gls_correct,0.4,771,1.172873647569607,0.4327491986930658,0.2410572052116818,0.5085178738202203,0.6263923768605926
0,gls_correct,0.4,899,1.1682635431923862,0.430931576607928,0.23637698238135285,0.5016255912280565,0.6182669774512538
0,gls_correct,0.4,1027,1.163083267239657,0.4287285219499924,0.23151059593778808,0.49531612920085216,0.6109693880751632
0,gls_correct,0.4,1283,1.1621815565803135,0.42818356818889053,0.22882604299316603,0.48803786870120786,0.6018001510513914
0,gls_correct,0.4,1539,1.1613779729456133,0.42765098906325827,0.22642431386697123,0.4880286870741722,0.6023918349431873
0,gls_correct,0.4,1795,1.1610102774687163,0.4270361030434288,0.22622183535872095,0.4873479511071374,0.6015288093402901
0,gls_correct,0.4,2050,1.1627051041296999,0.42761757423547464,0.22718542132448993,0.4867066190373011,0.6004197068127954
0,gls_correct,0.8,3,1.7183829611527939,0.9862609484650523,0.9767833321711467,1.0309667441836599,1.0655887890228268
0,gls_correct,0.8,6,1.637373803445173,0.9668443606843251,0.9407583673881109,0.9346840121784358,0.9306016895907545
0,gls_correct,0.8,11,1.6363393442026084,0.9629995567599755,0.9342136372818256,0.932946952521359,0.9320958192581329
0,gls_correct,0.8,19,1.3509945839459527,0.8226519434458912,0.6829501066767162,0.7770340255130835,0.8339281027672295
0,gls_correct,0.8,35,1.274130842775232,0.7837539500050807,0.6031556969915327,0.6915830836016413,0.7447472341490174
0,gls_correct,0.8,67,1.2254602857534034,0.7564930674919008,0.5468222698462467,0.6633724843763236,0.7308692817448684
0,gls_correct,0.8,131,1.1541038038616012,0.7189521625440487,0.4617904829338077,0.6663854274492619,0.7733356339164551
0,gls_correct,0.8,259,1.0982707853471572,0.6866907235941636,0.3693845699968737,0.6259715231827184,0.7497615431009431
0,gls_correct,0.8,387,1.0887491940046292,0.6817951215193719,0.3586656585401069,0.6372702811811504,0.7688705606998477
0,gls_correct,0.8,514,1.0876767896972075,0.6801079746506261,0.34931015241812946,0.6552023796863976,0.7964086593279306
0,gls_correct,0.8,643,1.083870319976796,0.6783864074543932,0.3472573485255062,0.6584421299441464,0.8014462049391259
0,gls_correct,0.8,771,1.0880765966063963,0.6795063423841158,0.3476221542243927,0.6582456386002457,0.8010809973900255
0,gls_correct,0.8,899,1.0914787770990892,0.6818788534789076,0.3533156868951357,0.6576742346676455,0.798649206796815
0,gls_correct,0.8,1027,1.094060581688783,0.6833547062296708,0.35804727502944406,0.6551757050458046,0.7937962588084115
0,gls_correct,0.8,1283,1.1015298261412474,0.6870865778302154,0.36887910559156606,0.6552573544123218,0.7905667262273379
0,gls_correct,0.8,1539,1.1062878453318097,0.6900881932910184,0.37591032229224774,0.6542060021302251,0.7868875637214332
0,gls_correct,0.8,1795,1.1074273544686646,0.6903617603386012,0.37994328286696444,0.6522294183445622,0.7828529962056573
0,gls_correct,0.8,2050,1.109158513985098,0.6915793999077486,0.3828707058625274,0.6500824439015014,0.7789106161069457
