protocol,comparison,noise_fraction,metric,n_seed_pairs,n_runs,delta_mean,delta_median,delta_ci_low,delta_ci_high,seed_mean_wins_left_lower,seed_mean_losses_left_higher,seed_mean_ties,seed_mean_sign_test_pvalue_two_sided
matched_correct_gls_practical,ols_minus_correct,0.05,test_observed_nrmse_radial,5,60,-0.001015931631203637,-0.0013903306936128013,-0.0021212415574625955,5.666093983184563e-05,4,1,0,0.375
matched_correct_gls_practical,ols_minus_correct,0.05,test_latent_nrmse_radial,5,60,-0.0010389075838719425,-0.0015676891774931145,-0.0021527751427886086,8.662784748695604e-05,4,1,0,0.375
matched_correct_gls_practical,ols_minus_correct,0.05,test_hidden_nrmse_tangential,5,60,0.0026622356697948565,0.0015526668278105782,-0.003729077275711873,0.010342524926514874,3,2,0,1.0
matched_correct_gls_practical,ols_minus_correct,0.05,test_hidden_nrmse_3d,5,60,0.0018727912550860703,0.0008977503834716738,-0.0028896526539303586,0.007568463111103075,3,2,0,1.0
matched_correct_gls_practical,ols_minus_correct,0.05,test_working_measurement_whitened_residual_rms,5,60,-0.3020591057493315,-0.2775351256962755,-0.3970373397223579,-0.23105624022796759,5,0,0,0.0625
matched_correct_gls_practical,ols_minus_correct,0.05,test_true_measurement_whitened_residual_rms,5,60,0.081508329954027,0.055282120289590786,0.04757831408104772,0.11284068375892455,0,5,0,0.0625
matched_correct_gls_practical,ols_minus_correct,0.1,test_observed_nrmse_radial,5,60,-0.0006413134961833266,-0.0011653765951244732,-0.0021618696500561303,0.0009271501408161577,3,2,0,1.0
matched_correct_gls_practical,ols_minus_correct,0.1,test_latent_nrmse_radial,5,60,-0.0006843808064476021,-0.0014971230586285078,-0.00248896493049893,0.0011532529949988542,3,2,0,1.0
matched_correct_gls_practical,ols_minus_correct,0.1,test_hidden_nrmse_tangential,5,60,0.01671036678633178,0.016671771581665162,0.013060821425158206,0.02027244188147104,0,5,0,0.0625
matched_correct_gls_practical,ols_minus_correct,0.1,test_hidden_nrmse_3d,5,60,0.012237653232552966,0.012151535048362028,0.009641260226111122,0.014945485348232106,0,5,0,0.0625
matched_correct_gls_practical,ols_minus_correct,0.1,test_working_measurement_whitened_residual_rms,5,60,-0.13402545772198338,-0.12541263721570106,-0.1672654394031298,-0.10795404610650275,5,0,0,0.0625
matched_correct_gls_practical,ols_minus_correct,0.1,test_true_measurement_whitened_residual_rms,5,60,0.05411247703783086,0.045729564806746725,0.02416718373305644,0.08481141558073632,0,5,0,0.0625
matched_correct_gls_practical,ols_minus_correct,0.2,test_observed_nrmse_radial,5,60,0.0005335068177613418,0.0004099750353872139,-0.0005017469153334456,0.0016299880992006663,3,2,0,1.0
matched_correct_gls_practical,ols_minus_correct,0.2,test_latent_nrmse_radial,5,60,0.001057750495940092,0.000802185736070618,-0.0005337525404741528,0.0026978366184208557,1,4,0,0.375
matched_correct_gls_practical,ols_minus_correct,0.2,test_hidden_nrmse_tangential,5,60,0.016219805821539583,0.016521207049583653,0.012565354532321042,0.019966224981588166,0,5,0,0.0625
matched_correct_gls_practical,ols_minus_correct,0.2,test_hidden_nrmse_3d,5,60,0.012065388125119177,0.012221491015227542,0.009410080060203479,0.014714794542672233,0,5,0,0.0625
matched_correct_gls_practical,ols_minus_correct,0.2,test_working_measurement_whitened_residual_rms,5,60,-0.046719380774832495,-0.04517863104992115,-0.06566554066367829,-0.031605378065543074,5,0,0,0.0625
matched_correct_gls_practical,ols_minus_correct,0.2,test_true_measurement_whitened_residual_rms,5,60,0.020211717097156585,0.01830371675494258,0.009556275702215228,0.031251405166052224,0,5,0,0.0625
matched_correct_gls_practical,ols_minus_correct,0.4,test_observed_nrmse_radial,5,60,0.0022565595163954576,0.0022460953415562035,0.001681951732963771,0.0029434560388215463,0,5,0,0.0625
matched_correct_gls_practical,ols_minus_correct,0.4,test_latent_nrmse_radial,5,60,0.0053109309539012195,0.00489439005405802,0.0041887872785083494,0.006467215676962397,0,5,0,0.0625
matched_correct_gls_practical,ols_minus_correct,0.4,test_hidden_nrmse_tangential,5,60,0.014985817142827458,0.015439764423375746,0.011058364143184335,0.01928190558523445,0,5,0,0.0625
matched_correct_gls_practical,ols_minus_correct,0.4,test_hidden_nrmse_3d,5,60,0.011802757455752107,0.012341548533885138,0.00907070361889987,0.014864571817552243,0,5,0,0.0625
matched_correct_gls_practical,ols_minus_correct,0.4,test_working_measurement_whitened_residual_rms,5,60,-0.013886379044802737,-0.011816661176067167,-0.02830398748926051,-0.0016302373522084884,5,0,0,0.0625
